feature,importance,source
ELEVATORS_AVG,4.830917874435829e-06,application
FLOORSMIN_MEDI,3.205515298014087e-06,application
FLAG_DOCUMENT_10,0.0,application
REG_REGION_NOT_WORK_REGION,0.0,application
BUREAU_PROLONG_sum,0.0,historique
YEARS_BUILD_MEDI,0.0,application
FLAG_DOCUMENT_12,0.0,application
FLAG_EMAIL,0.0,application
FLAG_CONT_MOBILE,0.0,application
FLAG_EMP_PHONE,0.0,application
FLAG_MOBIL,0.0,application
CNT_CHILDREN,0.0,application
FONDKAPREMONT_MODE,0.0,application
LIVE_REGION_NOT_WORK_REGION,0.0,application
REG_CITY_NOT_WORK_CITY,0.0,application
LIVE_CITY_NOT_WORK_CITY,0.0,application
FLAG_DOCUMENT_9,0.0,application
FLAG_DOCUMENT_8,0.0,application
FLAG_DOCUMENT_15,0.0,application
FLAG_DOCUMENT_6,0.0,application
FLAG_DOCUMENT_17,0.0,application
FLAG_DOCUMENT_5,0.0,application
FLAG_DOCUMENT_19,0.0,application
FLAG_DOCUMENT_20,0.0,application
FLAG_DOCUMENT_21,0.0,application
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,application
AMT_REQ_CREDIT_BUREAU_DAY,0.0,application
FLAG_DOCUMENT_4,0.0,application
FLAG_DOCUMENT_2,0.0,application
EMERGENCYSTATE_MODE,0.0,application
HOUSETYPE_MODE,0.0,application
FLAG_DOCUMENT_7,0.0,application
CNT_FAM_MEMBERS,-2.017914653669924e-06,application
LIVINGAPARTMENTS_AVG,-1.0834339774445922e-05,application
